"","date","tweet"
"786",2017-08-13,10981
"787",2017-08-14,10700
"788",2017-08-15,13012
"789",2017-08-16,12225
"790",2017-08-17,13066
"791",2017-08-18,12470
"792",2017-08-19,1316
"793",2017-08-20,1038
"794",2017-08-21,1354
"795",2017-08-22,588
"796",2017-08-23,763
"797",2017-08-24,598
"798",2017-08-25,1753
"799",2017-08-26,832
"800",2017-08-27,2087
"801",2017-08-28,1763
"802",2017-08-29,1684
"803",2017-08-30,1954
"804",2017-08-31,1422
"805",2017-09-01,1968
"806",2017-09-02,1349
"807",2017-09-03,1592
"808",2017-09-04,1809
"809",2017-09-05,1307
"810",2017-09-06,1723
"811",2017-09-07,1869
"812",2017-09-08,1778
"813",2017-09-09,1303
"814",2017-09-10,1893
"815",2017-09-11,1591
"816",2017-09-12,2177
"817",2017-09-13,1505
"818",2017-09-14,2063
"819",2017-09-15,2055
"820",2017-09-16,1685
"821",2017-09-17,1018
"822",2017-09-18,1118
"823",2017-09-19,2005
"824",2017-09-20,1829
"825",2017-09-21,1565
"826",2017-09-22,1881
"827",2017-09-23,1620
"828",2017-09-24,1792
"829",2017-09-25,1918
"830",2017-09-26,1734
"831",2017-09-27,1438
"832",2017-09-28,1571
"833",2017-09-29,1163
"834",2017-09-30,1633
"835",2017-10-01,1911
"836",2017-10-02,1898
"837",2017-10-03,1651
"838",2017-10-04,1782
"839",2017-10-05,1160
"840",2017-10-06,1230
"841",2017-10-07,1255
"842",2017-10-08,1078
"843",2017-10-09,1163
"844",2017-10-10,1025
"845",2017-10-11,1277
"846",2017-10-12,1286
"847",2017-10-13,1218
"848",2017-10-14,1274
"849",2017-10-15,1266
"850",2017-10-16,1228
"851",2017-10-17,1279
"852",2017-10-18,1341
"853",2017-10-19,1021
"854",2017-10-20,1565
"855",2017-10-21,990
"856",2017-10-22,630
"857",2017-10-23,23
"858",2017-10-24,33
"859",2017-10-25,32
"860",2017-10-26,12
"861",2017-10-27,26
"862",2017-10-28,22
"863",2017-10-29,21
"864",2017-10-30,28
"865",2017-10-31,51
"866",2017-11-01,44
"867",2017-11-02,30
"868",2017-11-03,16
"869",2017-11-04,29
"870",2017-11-05,35
"871",2017-11-06,29
"872",2017-11-07,354
"873",2017-11-08,398
"874",2017-11-09,475
"875",2017-11-10,812
"876",2017-11-11,885
"877",2017-11-12,570
"878",2017-11-13,1080
"879",2017-11-14,603
"880",2017-11-15,941
"881",2017-11-16,775
"882",2017-11-17,512
"883",2017-11-18,1151
"884",2017-11-19,758
"885",2017-11-20,774
"886",2017-11-21,1065
"887",2017-11-22,592
"888",2017-11-23,500
"889",2017-11-24,144
"890",2017-11-25,679
"891",2017-11-26,601
"892",2017-11-27,309
"893",2017-11-28,712
"894",2017-11-29,888
"895",2017-11-30,923
"896",2017-12-01,769
"897",2017-12-02,1357
"898",2017-12-03,566
"899",2017-12-04,997
"900",2017-12-05,875
"901",2017-12-06,712
"902",2017-12-07,1189
"903",2017-12-08,893
